Название;Расположение;Выручка;Чистая прибыль;Активы;Собств. капитал;Рыночная капитализация;Число сотрудников;Запасы;Группа
Sinopec; Китай: Пекин;430.3;11.3;296.5;121.5;76.9; 385 691 ;3.2;Азия
PetroChina; Китай: Пекин;410.4;14.5;292.8;221.2;146.0; 417 173 ;18.6;Азия
Saudi Aramco; Саудовская Аравия: Дахран;400.5;110.0;576.7;341.5;2320.0; 66 800 ;253.6;Азия
Indian Oil Corporation; Индия: Дели;95.8;3.3;53.4;17.4;14.3; 31 648 ;5.0;Азия
Eneos Holdings; Япония. Токио;95.0;4.7;83.9;24.9;12.4; 40 753 ;0.3;Азия
Reliance Industries; Индия: Нави Мумбаи;93.8;7.9;195.0;101.0;229.0; 236 334 ;4.3;Азия
China National Offshore Oil Corporation; Китай: Пекин;83.3;4.8;193.4;89.3;132.0; 80 058 ;4.0;Азия
PTT Public Company; Таиланд: Бангкок;66.1;3.2;90.0;29.4;30.7; 29 765 ;1.4;Азия
Abu Dhabi National Oil Company; ОАЭ: Абу-Даби;59.0;5.6;114.0;35.8;1428.0; 50 000 ;34.8;Азия
Idemitsu Kosan; Япония: Токио;58.1;2.4;40.0;12.3;10.3; 14 044 ;1.2;Азия
Bharat Petroleum; Индия: Мумбаи;56.2;1.5;24.4;6.8;9.2; 32 701 ;4.8;Азия
Oil and Natural Gas Corporation; Индия: Нью-Дели;48.6;1.0;20.1;5.4;24.8; 51 280 ;6.4;Азия
Shaanxi Yanchang Petroleum Group; Китай: Сиань;47.5;0.2;68.1;23.1;21.9; 131 093 ;1.2;Азия
Pertamina; Индонезия: Джакарта;41.5;0.8;69.1;31.3;12.4; 34 564 ;2.0;Азия
Petronas; Малайзия: Куала-Лумпур;40.6;-4.8;130.5;86.6;9.8; 48 679 ;5.6;Азия
China National Aviation Fuel Group; Китай: Пекин;40.5;0.6;8.1;3.0;12.8; 13 705 ;0.9;Азия
SK Innovation; Республика Корея: Сеул;39.5;0.4;41.8;16.6;16.0; 1 353.00 ;0.5;Азия
CNOOC Limited; Гонконг;38.6;11.0;123.5;75.5;76.4; 19 086 ;5.7;Азия
SOCAR; Азербайджан: Баку;29.2;-1.0;37.7;12.9;4.3; 50 861 ;25.9;Азия
PetroVietnam; Вьетнам: Ханой;27.1;2.3;17.8;11.7;2.4; 60 000 ;0.9;Азия
CPC Corporation; Китайская Республика: Гаосюн;26.0;-0.3;26.5;10.6;12.8; 16 123 ;1.3;Азия
S-Oil; Республика Корея: Сеул;23.2;1.2;15.8;5.9;9.5; 3 154.00 ;0.3;Азия
Korea Gas Corporation; Республика Корея: Тэгу;23.2;0.8;36.9;7.5;2.4; 4 164.00 ;0.7;Азия
OQ; Оман: Маскат;22.8;1.8;29.0;9.1;8.7; 6 600.00 ;3.2;Азия
